gram,induced_n_prob
654,0.022064316058035414
426,0.020435679419551617
984,0.020179711540066158
465,0.01733682032427172
274,0.01686107480261154
254,0.01665949104977858
258,0.016659491049778524
782,0.015870625985103647
785,0.015870625985103613
584,0.013276866057854124
581,0.01327686605785406
545,0.012075511511941448
998,0.01131022196655964
952,0.011310221966559621
267,0.01128063307283352
845,0.011121125411443378
777,0.010429752559536636
778,0.010429752559536631
925,0.010426730996070905
927,0.010426730996070903
725,0.01002939293868679
739,0.009826195136373558
539,0.009790920551213061
532,0.009790920551213021
452,0.009687454622132862
453,0.009687454622132817
455,0.009687454622132816
457,0.009687454622132753
212,0.009649263431025174
395,0.009340102874611242
399,0.00934010287461124
392,0.009340102874611225
067,0.008944150608767172
506,0.00894311405365538
297,0.008797763614037392
678,0.0086214066684856
679,0.008621406668485583
673,0.00862140666848555
015,0.008558783650590844
901,0.00855687176127907
373,0.0076728938717867574
407,0.007000408137041617
419,0.007000408137041607
472,0.007000408137041598
411,0.007000408137041591
473,0.00700040813704158
556,0.006600336116657148
550,0.00660033611665714
792,0.006585197838498723
790,0.006585197838498714
282,0.006433603097720362
242,0.006433603097720339
197,0.0059168191687065455
198,0.005916819168706518
104,0.005659219104660067
261,0.005640316536416769
745,0.0054053115173004086
158,0.005207181093392799
153,0.005207181093392792
075,0.005107532893418692
078,0.005107532893418683
492,0.00492545662424159
738,0.004913097568186787
541,0.004830204604776589
547,0.004830204604776586
542,0.004830204604776586
546,0.004830204604776582
549,0.004830204604776558
978,0.004485596169966474
849,0.0044484501645773574
847,0.004448450164577347
842,0.004448450164577342
846,0.004448450164577341
841,0.004448450164577338
525,0.004445451710026164
110,0.004425533359608735
113,0.004425533359608724
877,0.004361569736812951
384,0.004360663010557702
387,0.0043606630105577
825,0.004249155446467585
137,0.004003491101237525
139,0.004003491101237515
134,0.004003491101237513
265,0.0037602110242778205
045,0.003747258333083338
044,0.003747258333083333
977,0.0035884769359731854
853,0.0034239918753581552
858,0.0034239918753581505
146,0.003335409873992456
149,0.0033354098739924376
737,0.003275398378791179
730,0.0032753983787911756
734,0.003275398378791163
221,0.003216407514035005
238,0.0032164075140350026
239,0.003216407514035
207,0.0032164075140349952
226,0.0032164075140349935
813,0.0031864031861141904
445,0.0031612311589308676
498,0.0029552739745449573
497,0.0029552739745449517
345,0.0029534680561700624
567,0.0029142272737470573
979,0.002691357701979887
973,0.002691357701979883
578,0.0025849975204732863
855,0.00256799390651861
544,0.0024151023023882955
540,0.002415102302388292
834,0.0023666813802280815
883,0.002365660061950872
613,0.0023655659099779893
614,0.0023655659099779884
619,0.002365565909977984
649,0.002365565909977983
688,0.0023655659099779815
629,0.00236556590997798
608,0.002365565909977979
844,0.0022242250822886735
840,0.0022242250822886722
522,0.0022227258550130803
524,0.0022227258550130795
528,0.002222725855013079
521,0.0022227258550130786
529,0.0022227258550130786
527,0.002222725855013078
526,0.0022227258550130777
523,0.0022227258550130773
325,0.0022144930916060007
741,0.0021621246069201583
742,0.0021621246069201544
747,0.002162124606920152
746,0.002162124606920152
749,0.0021621246069201505
826,0.002124577723233798
829,0.0021245777232337957
823,0.002124577723233795
827,0.002124577723233794
822,0.002124577723233792
824,0.002124577723233792
828,0.0021245777232337905
821,0.00212457772323379
819,0.0021242687907427945
814,0.0021242687907427845
867,0.0021031507289415345
086,0.0021010634010987777
085,0.002101063401098773
577,0.002067998016378626
495,0.0019701826496966355
490,0.0019701826496966355
499,0.001970182649696633
125,0.0019555338831433633
263,0.0018801055121389196
264,0.0018801055121389178
262,0.0018801055121389159
268,0.0018801055121389152
260,0.001880105512138915
314,0.0018350000494431575
304,0.0018350000494431566
308,0.001835000049443152
972,0.0017942384679865936
971,0.0017942384679865908
852,0.0017119959376790785
854,0.0017119959376790765
850,0.001711995937679075
859,0.0017119959376790737
731,0.0016376991893955898
732,0.0016376991893955876
811,0.0015932015930570952
815,0.0015932015930570944
579,0.0015509985122839653
573,0.0015509985122839649
717,0.0015157019635310437
713,0.0015157019635310411
561,0.0014571136368735267
449,0.0012644924635723525
442,0.0012644924635723475
446,0.0012644924635723475
447,0.001264492463572347
441,0.0012644924635723449
753,0.0012612354684871736
758,0.0012612354684871704
639,0.0011826922937131867
349,0.0011813872224680274
342,0.001181387222468023
346,0.0011813872224680224
347,0.0011813872224680215
341,0.0011813872224680209
597,0.001171841323663246
591,0.0011718413236632423
520,0.001111362927506539
326,0.0011072465458030016
328,0.0011072465458030008
321,0.0011072465458030008
324,0.001107246545802999
323,0.001107246545802999
329,0.0011072465458029988
322,0.0011072465458029977
327,0.001107246545802996
740,0.0010810623034600768
744,0.0010810623034600729
820,0.001062288861616897
810,0.0010621343953713962
571,0.0010339990081893106
572,0.0010339990081893104
963,0.0009851903832457114
491,0.0009850913248483318
494,0.0009850913248483186
496,0.000985091324848317
126,0.0009777669415716858
124,0.0009777669415716847
129,0.0009777669415716847
127,0.0009777669415716845
122,0.0009777669415716843
128,0.0009777669415716843
123,0.0009777669415716834
121,0.0009777669415716834
565,0.0009714090912490169
755,0.0009459266013653731
975,0.0008971192339933026
974,0.0008971192339932962
857,0.0008559979688395387
856,0.0008559979688395376
440,0.0006322462317861734
444,0.0006322462317861727
754,0.0006306177342435852
759,0.0006306177342435848
750,0.0006306177342435841
752,0.0006306177342435823
167,0.0006176411578743999
638,0.000591346146856594
344,0.0005906936112340128
340,0.0005906936112340114
320,0.0005536232729014991
817,0.0005310671976856992
816,0.0005310671976856983
812,0.0005310671976856981
913,0.0005178881618630829
574,0.000516999504094658
575,0.0005169995040946566
178,0.0005079524440733706
120,0.0004888834707858419
568,0.0004857045456245094
563,0.0004857045456245094
562,0.0004857045456245093
560,0.000485704545624509
564,0.0004857045456245084
177,0.00040636195525869603
634,0.00039423076457106247
630,0.00039423076457106236
637,0.00039423076457106236
914,0.0003452587745753891
919,0.00034525877457538835
757,0.0003153088671217922
756,0.0003153088671217921
173,0.00030477146644402225
179,0.00030477146644402225
945,0.0002899927245415607
911,0.00025894408093154146
915,0.00025894408093154114
171,0.000203180977629348
172,0.00020318097762934788
631,0.00019711538228553104
632,0.00019711538228553056
910,0.000172629387287694
949,0.00011599708981662489
941,0.00011599708981662467
947,0.00011599708981662458
946,0.00011599708981662451
942,0.00011599708981662444
174,0.00010159048881467398
175,0.00010159048881467376
912,8.631469364384705e-05
916,8.6314693643847e-05
917,8.631469364384699e-05
940,5.799854490831229e-05
944,5.799854490831224e-05
806,3.9969352774369814e-07
804,3.9969352774369803e-07
892,3.9969352774369803e-07
028,2.661477177921651e-07
024,2.6614771779216497e-07
008,2.661477177921648e-07
094,2.661477177921645e-07
