gram,public_r_prob
6790158,0.002156568349202783
6790153,0.0021565683492027784
4654654,0.002039227065244207
2679015,0.0018794097742717486
7901539,0.0016470118505857614
7901584,0.0016470118505857601
7901581,0.0016470118505857567
7901532,0.0016470118505857486
4550678,0.0016141197463729452
4539984,0.001614119746372945
4550679,0.0016141197463729413
4550673,0.0016141197463729355
5455067,0.001508289071213046
0679015,0.0014910729181014594
5067901,0.0014906926630050867
8455067,0.0013894287134124904
9984654,0.0013305907510142493
4267901,0.00127710806868406
4268834,0.0012771080686840575
9274654,0.0012271236665492948
7855067,0.001134032820959212
5506782,0.001099935723606666
5506785,0.001099935723606662
5506792,0.0010999357236066614
5506790,0.001099935723606661
3998465,0.001098883932350746
3998426,0.001098883932350745
5814654,0.0010623327517662996
4654725,0.0010196135326221059
6739984,0.0010148556937424839
2584654,0.0009797979565959692
7399845,0.0009632438381178292
5399845,0.0009601787591177643
2614654,0.0009397048871358782
2679274,0.0009397048871358756
3739984,0.0009026725110707531
3952426,0.0008895727071410804
1539984,0.0008686611747258194
4739984,0.0008232617549259673
7314654,0.0008187572624001531
6545506,0.0008106937505241783
4539274,0.0008070598731864703
5506739,0.0007764252166635236
4654267,0.000764710149466578
6546545,0.0007630058828462862
0679274,0.0007455364590507308
5067927,0.0007453463315025443
5067925,0.0007453463315025427
9845506,0.0007415929235171762
0153998,0.0007136711170307273
0153952,0.000713671117030727
9015399,0.0007134524649705046
9015395,0.0007134524649705045
9015392,0.0007134524649705023
9846545,0.0006979698103691039
1984654,0.0006957695661775796
4579015,0.000691765605588401
3998452,0.0006868024577192215
3998455,0.0006868024577192177
3998457,0.000686802457719216
3998453,0.0006868024577192156
7455067,0.0006757173551796084
9790158,0.0006725877561028595
9790153,0.0006725877561028578
2581984,0.0006662626104852592
2581373,0.0006662626104852584
2581465,0.000666262610485258
9984725,0.0006652953755071267
7777777,0.0006523833424597348
7777782,0.0006523833424597338
7777778,0.0006523833424597334
7777785,0.0006523833424597318
6547258,0.0006485550004193465
6547254,0.0006485550004193456
6541104,0.0006485550004193453
6541984,0.0006485550004193448
4261465,0.0006385540343420325
4261984,0.0006385540343420311
4267927,0.0006385540343420307
4267925,0.0006385540343420296
4260867,0.0006385540343420293
4654539,0.0006372584578888136
4654556,0.0006372584578888132
4654550,0.0006372584578888127
4654532,0.0006372584578888086
6792745,0.0006342848085890555
9015845,0.0006295168808563272
2979015,0.0006283648959804388
2745506,0.0006200975647640503
7387777,0.0006140679468001158
7387782,0.0006140679468001149
7387778,0.0006140679468001146
7387785,0.0006140679468001129
9274725,0.0006135618332746489
9254654,0.0006135618332746473
2545506,0.0006123737228724781
5472584,0.0006033156284852227
5472581,0.0006033156284852214
5411045,0.0006033156284852211
5411044,0.0006033156284852206
9847258,0.0005932743388137418
9847254,0.000593274338813741
9841104,0.0005932743388137394
9841984,0.0005932743388137391
7254654,0.0005895288079695781
2746545,0.0005836212374249849
2546545,0.0005763517391740975
8539984,0.0005710602630397922
5465426,0.0005678264738684431
5465465,0.0005678264738684429
7824267,0.0005670164104796087
8472584,0.0005557714853649977
8472581,0.0005557714853649966
8411045,0.0005557714853649951
8411044,0.0005557714853649947
2688345,0.0005527675806681612
3998472,0.0005494419661753749
3998411,0.0005494419661753729
