rgram,public_prob,generated_prob,signed_diff,abs_diff
8679015,0.0003518023428444188,0.00035034003190305315,1.4623109413656262e-06,1.4623109413656262e-06
6790158,0.002156568349202783,0.0021551885522874065,1.3797969153767076e-06,1.3797969153767076e-06
6790153,0.0021565683492027784,0.002155188552287404,1.3797969153745392e-06,1.3797969153745392e-06
5455067,0.001508289071213046,0.001509647622682954,-1.358551469908065e-06,1.358551469908065e-06
1539984,0.0008686611747258194,0.0008677242476903761,9.369270354433025e-07,9.369270354433025e-07
7901581,0.0016470118505857567,0.0016461460287848376,8.658218009190491e-07,8.658218009190491e-07
7901539,0.0016470118505857614,0.0016461460287848428,8.658218009186154e-07,8.658218009186154e-07
7901584,0.0016470118505857601,0.0016461460287848458,8.658218009142786e-07,8.658218009142786e-07
7901532,0.0016470118505857486,0.0016461460287848359,8.658218009127607e-07,8.658218009127607e-07
8455067,0.0013894287134124904,0.001390195975113024,-7.672617005336814e-07,7.672617005336814e-07
2679015,0.0018794097742717486,0.0018801750313109638,-7.652570392152266e-07,7.652570392152266e-07
8679274,0.00017590117142220958,0.00017517001595152677,7.311554706828131e-07,7.311554706828131e-07
6739984,0.0010148556937424839,0.0010142063775470125,6.493161954714173e-07,6.493161954714173e-07
7777777,0.0006523833424597348,0.0006517613168335288,6.22025626206054e-07,6.22025626206054e-07
7777778,0.0006523833424597334,0.0006517613168335285,6.220256262048614e-07,6.220256262048614e-07
7777782,0.0006523833424597338,0.0006517613168335292,6.220256262046446e-07,6.220256262046446e-07
7777785,0.0006523833424597318,0.0006517613168335277,6.220256262041025e-07,6.220256262041025e-07
4539984,0.001614119746372945,0.0016147235867925913,-6.038404196462635e-07,6.038404196462635e-07
4550679,0.0016141197463729413,0.0016147235867925874,-6.038404196460467e-07,6.038404196460467e-07
4550673,0.0016141197463729355,0.0016147235867925813,-6.038404196458298e-07,6.038404196458298e-07
