generation,support_size,entropy,l1_step,rollout_residual,mode
80,991,6.803901636021292,6.767388758692526e-08,3.3836943792042327e-07,exact
81,991,6.803901636697326,6.186257817317989e-08,3.093128908565211e-07,exact
82,991,6.8039016373512835,5.654358718875795e-08,2.8271793594972575e-07,exact
83,991,6.803901637981272,5.167590852716295e-08,2.5837954263258924e-07,exact
84,991,6.803901638585959,4.72218774883956e-08,2.3610938743856276e-07,exact
85,991,6.80390163916448,4.316060278299798e-08,2.158030138951219e-07,exact
86,991,6.803901639716362,3.944720333712358e-08,1.9723601672256208e-07,exact
87,991,6.8039016402414605,3.6049377874047394e-08,1.8024688935573577e-07,exact
88,991,6.803901640739899,3.294071543742108e-08,1.6470357717385102e-07,exact
89,991,6.803901641212018,3.00971732865459e-08,1.5048586640334762e-07,exact
90,991,6.803901641658333,2.7501606236139502e-08,1.3750803119259663e-07,exact
91,991,6.8039016420795,2.5135173163258386e-08,1.256758658188669e-07,exact
92,991,6.803901642476285,2.297684406746183e-08,1.1488422032622319e-07,exact
93,991,6.803901642849532,2.1001804820052058e-08,1.0500902410882549e-07,exact
94,991,6.803901643200142,1.9201549128136782e-08,9.600774563341976e-08,exact
95,991,6.803901643529065,1.7566319695941704e-08,8.783159850147388e-08,exact
96,991,6.803901643837268,1.6070968743910367e-08,8.035484373424277e-08,exact
97,991,6.80390164412573,1.4701972258970158e-08,7.350986128818295e-08,exact
98,991,6.803901644395433,1.3448311522224789e-08,6.724155760264006e-08,exact
99,991,6.803901644647349,1.23004012255411e-08,6.150200613805963e-08,exact
