generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,5.298317366548036,0.329991291686252,0.329991291686252,exact
1,280,5.346751824435877,0.1845608923997128,0.1845608923997128,exact
2,280,5.280888063665632,0.12379462344049517,0.12379462344049517,exact
3,280,5.217721900644186,0.09297594118960315,0.09297594118960315,exact
4,280,5.169729524172593,0.07156656498547785,0.07156656498547785,exact
5,280,5.133630750237623,0.054461612415402046,0.054461612415402046,exact
6,280,5.105492027710838,0.04204894192173248,0.04204894192173248,exact
7,280,5.083106946349365,0.03339954755051941,0.03339954755051941,exact
8,280,5.065316591315041,0.027049621784325226,0.027049621784325226,exact
9,280,5.051309150550924,0.022485535067505908,0.022485535067505908,exact
10,280,5.0403540800378925,0.018431764939357966,0.018431764939357966,exact
11,280,5.031784366764356,0.014924978702678319,0.014924978702678319,exact
12,280,5.025038245742896,0.0120003159497646,0.0120003159497646,exact
13,280,5.019678850527589,0.009854092193302274,0.009854092193302274,exact
14,280,5.015382707489529,0.008188166150941607,0.008188166150941607,exact
15,280,5.011913067822949,0.006829769052239829,0.006829769052239829,exact
16,280,5.009093268806521,0.005686426884810321,0.005686426884810321,exact
17,280,5.006787209856845,0.004742287138762806,0.004742287138762806,exact
18,280,5.004887474489204,0.003975567904365256,0.00397556790436529,exact
19,280,5.003308712407381,0.003368377742467423,0.003368377742467423,exact
20,280,5.0019836734474925,0.0028742525987062724,0.0028742525987062724,exact
21,280,5.000860204486921,0.0024663332348151064,0.0024663332348151064,exact
22,280,4.999898497532637,0.002123864854532528,0.002123864854532528,exact
23,280,4.999068479988545,0.0018349357456795437,0.0018349357456795437,exact
24,280,4.998347464314377,0.0015973548509880507,0.0015973548509880507,exact
25,280,4.997718178164123,0.0013923453525567073,0.0013923453525567073,exact
26,280,4.997167221858492,0.0012140900334049612,0.0012140900334049612,exact
27,280,4.996683928870414,0.0010586922937470707,0.0010586922937470707,exact
28,280,4.9962595639713205,0.000923079156061073,0.000923079156061073,exact
29,280,4.995886781114165,0.0008051088926156243,0.0008051088926156243,exact
30,280,4.9955592683073275,0.0007029845434571542,0.0007029845434571542,exact
31,280,4.9952715197614035,0.0006140131273569482,0.0006140131273569482,exact
32,280,4.995018690198499,0.000536580671587841,0.000536580671587841,exact
33,280,4.994796499344711,0.0004702168348835425,0.0004702168348835435,exact
34,280,4.994601165216006,0.00041271100084591954,0.00041271100084591954,exact
35,280,4.9944293527744295,0.00036254572301082816,0.00036254572301082816,exact
36,280,4.9942781301901515,0.0003188719307754944,0.0003188719307754944,exact
37,280,4.994144928728653,0.00028081073886018727,0.00028081073886018727,exact
38,280,4.994027504630131,0.0002474459217356851,0.0002474459217356851,exact
39,280,4.993923902658217,0.00021832914985801975,0.00021832914985801975,exact
40,280,4.993832421604883,0.00019282054875947448,0.00019282054875947448,exact
41,280,4.9937515822152045,0.00017041422372374268,0.00017041422372374268,exact
42,280,4.9936800979365605,0.00015070584355217267,0.00015070584355217267,exact
43,280,4.9936168487353845,0.00013335590435929048,0.00013335590435929048,exact
44,280,4.993560858043197,0.00011802721854490319,0.00011802721854490319,exact
45,280,4.993511272736009,0.00010447374292863589,0.00010447374292863589,exact
