probe,input_l1,output_l1,ratio
0,0.023003996092696447,0.017857298810072468,0.7762694245867131
1,0.021542691948146994,0.01796931059901138,0.8341255884948501
2,0.02202736969130414,0.018330945800656605,0.8321895014043919
3,0.022863310593910814,0.019029241245902356,0.8323047166655915
4,0.020850669442699095,0.01755298241014354,0.841842630443204
5,0.023009218821505285,0.019391395598464093,0.8427663602529679
6,0.023321844690073302,0.019015366428326044,0.8153457276224695
7,0.021741695290802675,0.017955522255646932,0.8258565864108399
