generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,4.849376073349585,0.24453876853470474,0.4890775370694095,exact
5,280,4.923651142604123,0.07375672680441224,0.1475134536088245,exact
10,280,4.787854924768914,0.032989256468494856,0.06597851293698971,exact
15,280,4.705680216783561,0.016787993874916154,0.0335759877498323,exact
20,280,4.662233616243923,0.009021374106924019,0.018042748213848034,exact
25,280,4.640866158029048,0.00507871920006445,0.010157438400128909,exact
30,280,4.630642613136471,0.0029807519019208113,0.005961503803841623,exact
35,280,4.625380363704269,0.001761101794006636,0.0035222035880132815,exact
40,280,4.622171546029147,0.0011444769376796932,0.00228895387535939,exact
45,280,4.619882899172081,0.000809912083289619,0.0016198241665792475,exact
50,280,4.618155849468143,0.0005657471942617504,0.001131494388523525,exact
55,280,4.616885450284722,0.00041118019791759586,0.000822360395835195,exact
60,280,4.616007178304715,0.00029592266546643684,0.0005918453309328613,exact
65,280,4.615442969859434,0.00021319065034177084,0.0004263813006835507,exact
70,280,4.615107704339023,0.00014899234107220577,0.0002979846821444181,exact
75,280,4.614925317251991,0.00010058063753726036,0.00020116127507451283,exact
80,280,4.614837476972843,6.690430319574723e-05,0.0001338086063915132,exact
85,280,4.614804161696733,4.3963867487830416e-05,8.792773497568092e-05,exact
90,280,4.614800041955361,2.8681523350595085e-05,5.7363046701171575e-05,exact
95,280,4.6148099993496885,1.8635244575475588e-05,3.7270489150946514e-05,exact
99,280,4.614822163920161,1.3267284386113539e-05,2.6534568772239417e-05,exact
