generation,support_size,entropy,l1_step,rollout_residual,mode
0,200,4.849376073349585,0.24453876853470474,0.4890775370694095,exact
1,280,4.965017637027969,0.174687518239679,0.34937503647935797,exact
2,280,4.985862568952839,0.13340235196213532,0.26680470392427064,exact
3,280,4.975828330577186,0.10777752535001271,0.2155550507000254,exact
4,280,4.952487726576399,0.08872808188177654,0.17745616376355305,exact
5,280,4.923651142604123,0.07375672680441224,0.1475134536088245,exact
6,280,4.893378241474472,0.061740320024743826,0.12348064004948765,exact
7,280,4.863843410230935,0.05229072836358273,0.10458145672716544,exact
8,280,4.836150793833589,0.04465494718620042,0.08930989437240083,exact
9,280,4.810779698307342,0.03835872762096803,0.07671745524193606,exact
10,280,4.787854924768914,0.032989256468494856,0.06597851293698971,exact
11,280,4.767314150531278,0.028269793490086847,0.0565395869801737,exact
12,280,4.749007958656073,0.024483404778964643,0.048966809557929265,exact
13,280,4.732755395976427,0.02156379432348157,0.04312758864696314,exact
14,280,4.718371716486325,0.019082286220548292,0.03816457244109662,exact
15,280,4.705680216783561,0.016787993874916154,0.0335759877498323,exact
16,280,4.694515968038385,0.01472584088638214,0.029451681772764263,exact
17,280,4.684726034802824,0.01302715288573276,0.02605430577146553,exact
18,280,4.676168571354414,0.011562539712155486,0.02312507942431099,exact
19,280,4.668711856817058,0.01021152704231205,0.020423054084624102,exact
20,280,4.662233616243923,0.009021374106924019,0.018042748213848034,exact
21,280,4.656620642874465,0.007957817052957757,0.015915634105915538,exact
22,280,4.651768618159768,0.007108081665167739,0.014216163330335475,exact
23,280,4.647582012219952,0.00632831612725757,0.012656632254515132,exact
24,280,4.6439739743226705,0.005656427573579041,0.011312855147158081,exact
25,280,4.640866158029048,0.00507871920006445,0.010157438400128909,exact
26,280,4.638188455600928,0.0045697377052385055,0.009139475410477013,exact
27,280,4.6358786379271475,0.004122399168018946,0.008244798336037888,exact
28,280,4.633881910283412,0.003700192159668207,0.007400384319336445,exact
29,280,4.632150402212191,0.0033066240780674637,0.006613248156134924,exact
30,280,4.630642613136471,0.0029807519019208113,0.005961503803841623,exact
31,280,4.629322835278355,0.002703749846813687,0.005407499693627375,exact
32,280,4.628160573194451,0.0024480775885145187,0.0048961551770290435,exact
33,280,4.627129975777129,0.0022043812805978783,0.004408762561195748,exact
34,280,4.626209292713013,0.0019711687790060013,0.003942337558012031,exact
35,280,4.625380363704269,0.001761101794006636,0.0035222035880132815,exact
36,280,4.624628145574252,0.0015899250793104272,0.0031798501586208635,exact
37,280,4.62394027983158,0.0014525692474154513,0.0029051384948309005,exact
38,280,4.623306701354088,0.0013396500387243705,0.002679300077448746,exact
39,280,4.622719287497829,0.0012297037823340894,0.0024594075646681667,exact
40,280,4.622171546029147,0.0011444769376796932,0.00228895387535939,exact
41,280,4.621658339712854,0.0010615579142346006,0.0021231158284692,exact
42,280,4.621175645074386,0.000987887678976316,0.001975775357952651,exact
43,280,4.620720342712778,0.000926593070799345,0.00185318614159871,exact
44,280,4.620290036515587,0.0008671701863428501,0.001734340372685708,exact
45,280,4.619882899172081,0.000809912083289619,0.0016198241665792475,exact
46,280,4.619497541466245,0.0007521412755841579,0.0015042825511682966,exact
47,280,4.619132902936175,0.0006982959396277523,0.001396591879255509,exact
48,280,4.6187881616001905,0.0006534445318458739,0.0013068890636917675,exact
49,280,4.6184626605671655,0.0006096619120325365,0.0012193238240650467,exact
50,280,4.618155849468143,0.0005657471942617504,0.001131494388523525,exact
51,280,4.617867238768735,0.0005289312857537727,0.0010578625715075426,exact
52,280,4.6175963651484935,0.0004983446581134598,0.000996689316226926,exact
53,280,4.61734276626505,0.0004686241143467889,0.0009372482286935555,exact
54,280,4.617105963357549,0.00043941975507257497,0.0008788395101451528,exact
55,280,4.616885450284722,0.00041118019791759586,0.000822360395835195,exact
56,280,4.616680687736405,0.0003840974161120879,0.0007681948322241859,exact
57,280,4.616491101500938,0.00035981222135197277,0.0007196244427039462,exact
