gram,induced_n_prob
214,0.06879788625489716
221,0.06762405770548446
232,0.06749371793954072
413,0.060855944453235326
142,0.054890795942862995
134,0.047038447941683666
213,0.04047916172103794
132,0.038733593118965154
322,0.038115040145864795
422,0.03551319959550864
321,0.029932861921942583
342,0.028197052434776167
421,0.027889560022254754
004,0.02558923544087478
400,0.025585824140678504
041,0.021764015189978485
323,0.021693247503744406
212,0.02111457781161122
340,0.021095242058900086
423,0.020212405011957625
204,0.019870621269635277
223,0.018485104892875828
141,0.017235031259996696
441,0.012831747141385484
122,0.012484061761991669
042,0.011948888525223576
312,0.011132205348652686
131,0.010623195108840194
241,0.0103157451090648
121,0.009804100835697055
324,0.009535910629495933
424,0.008884962372182151
320,0.008795458050707458
044,0.00870349099903384
420,0.008195055182765825
123,0.007105327467018261
242,0.0056635546008805
301,0.005181898605428893
130,0.004944960876629931
210,0.004847418988315591
103,0.0048467781812977315
244,0.004125295535835437
014,0.003333267174976922
124,0.0031233575197578797
040,0.0030447291781346983
120,0.002880832372465743
034,0.0022491439227185378
032,0.001852047195021777
012,0.0018519439195899485
240,0.00144314593854136
412,0.0012983672482249392
031,0.0005079481948155024
030,0.00023644336049398696
024,1.4527053996274717e-06
023,6.42171104889228e-07
