rgram,public_prob,generated_prob,signed_diff,abs_diff
4134004,0.012093958247539551,0.012087750808630162,6.207438909389129e-06,6.207438909389129e-06
3400413,0.009891137681280214,0.009887668489525846,3.469191754368328e-06,3.469191754368328e-06
2134004,0.008038773116504225,0.00804147602964545,-2.702913141224353e-06,2.702913141224353e-06
2142214,0.007375158048251375,0.00737763783108868,-2.4797828373050723e-06,2.4797828373050723e-06
4413400,0.0024977192552091644,0.0024953822575804704,2.3369976286939827e-06,2.3369976286939827e-06
4134221,0.004477345770510733,0.004475047693257798,2.2980772529353558e-06,2.2980772529353558e-06
2142142,0.005612806274433675,0.005614693493741709,-1.8872193080334346e-06,1.8872193080334346e-06
4004134,0.005568125564579195,0.00556635888508927,1.7666794899255309e-06,1.7666794899255309e-06
1340041,0.009638807514038263,0.009637093878769598,1.7136352686644707e-06,1.7136352686644707e-06
4132214,0.003278715702130025,0.0032770328430523233,1.6828590777015831e-06,1.6828590777015831e-06
4134232,0.0032448674708358493,0.003243201984964146,1.6654858717032005e-06,1.6654858717032005e-06
4004413,0.004797248827222204,0.004795726734910738,1.5220923114660917e-06,1.5220923114660917e-06
2142213,0.0043393806351446065,0.004340839684774885,-1.459049630278715e-06,1.459049630278715e-06
4004132,0.004585047328115539,0.004583592564033631,1.4547640819085467e-06,1.4547640819085467e-06
2141342,0.004272731171998706,0.004274167811777733,-1.436639779027124e-06,1.436639779027124e-06
3400441,0.0040398846586410546,0.004038467720064527,1.4169385765278736e-06,1.4169385765278736e-06
1422142,0.005884760855903677,0.005886131229714461,-1.3703738107840799e-06,1.3703738107840799e-06
0041342,0.003185824448452554,0.0031844729855869084,1.3514628656456813e-06,1.3514628656456813e-06
2142232,0.003962953931075619,0.003964286413048073,-1.332481972453857e-06,1.332481972453857e-06
4132142,0.0024952409080050654,0.00249396018128321,1.280726721855207e-06,1.280726721855207e-06
2142322,0.0037055763862471154,0.0037068223290004504,-1.2459427533350123e-06,1.2459427533350123e-06
4413221,0.0013310853908217281,0.0013298399572545033,1.2454335672248528e-06,1.2454335672248528e-06
2322142,0.007236415344270083,0.007237636175089127,-1.2208308190434641e-06,1.2208308190434641e-06
4134214,0.0022776848620452636,0.0022765157998286953,1.169062216568352e-06,1.169062216568352e-06
4413422,0.0011774539500112404,0.001176352262108033,1.101687903207367e-06,1.101687903207367e-06
2141340,0.003196585832310459,0.0031976606348615437,-1.0748025510848302e-06,1.0748025510848302e-06
3221422,0.0040861234529164835,0.004087185237251539,-1.0617843350553546e-06,1.0617843350553546e-06
3422142,0.0030244718119873605,0.0030234110166562737,1.0607953310867897e-06,1.0607953310867897e-06
0041340,0.0023834313197354587,0.002382420241136007,1.0110785994515807e-06,1.0110785994515807e-06
2134221,0.0029760617720503563,0.002977062426796572,-1.0006547462157109e-06,1.0006547462157109e-06
4132213,0.0019291241398333013,0.0019281339825992885,9.901572340128943e-07,9.901572340128943e-07
2142321,0.0029100981105166087,0.00291107658600176,-9.784754851512555e-07,9.784754851512555e-07
0142214,0.0003582714111114371,0.0003572965055917763,9.74905519660822e-07,9.74905519660822e-07
0044134,0.00222716107421489,0.0022262162872260533,9.447869888366302e-07,9.447869888366302e-07
2214221,0.007250639870769467,0.007251583577804723,-9.43707035256508e-07,9.43707035256508e-07
1340042,0.005291902045462799,0.005290961224726394,9.408207364046753e-07,9.408207364046753e-07
3221413,0.003561842126050431,0.003562767675221168,-9.255491707372415e-07,9.255491707372415e-07
4131221,0.001767657546814172,0.0017667502651773442,9.072816368278693e-07,9.072816368278693e-07
4132232,0.001761779096207468,0.001760874831789838,9.042644176300747e-07,9.042644176300747e-07
4413232,0.0009646777146473451,0.0009637751113916422,9.026032557029858e-07,9.026032557029858e-07
4413421,0.0009246892137658176,0.0009238240258567515,8.651879090660871e-07,8.651879090660871e-07
4132322,0.00164735879604794,0.0016465132598819459,8.455361659941672e-07,8.455361659941672e-07
3214221,0.003208952913183012,0.003209786763646517,-8.338504635051723e-07,8.338504635051723e-07
3221421,0.00320895291318301,0.0032097867636465137,-8.338504635038713e-07,8.338504635038713e-07
0241342,9.040117374597419e-07,9.039757137473765e-08,8.136141660850043e-07,8.136141660850043e-07
2413400,0.0020071018284936472,0.002006306813774046,7.950147196010213e-07,7.950147196010213e-07
3232214,0.0030558423980773324,0.0030566364625802932,-7.940645029608402e-07,7.940645029608402e-07
1413400,0.0033514684560202257,0.003352248906528282,-7.804505080563455e-07,7.804505080563455e-07
0044132,0.0018339455197583445,0.0018331675392676819,7.779804906626019e-07,7.779804906626019e-07
2142212,0.002263490304131978,0.002264251367741987,-7.610636100093514e-07,7.610636100093514e-07
2122142,0.0022634903041319765,0.002264251367741985,-7.61063610008484e-07,7.61063610008484e-07
4130142,0.0014534003749039493,0.0014526543913431125,7.459835608368548e-07,7.459835608368548e-07
0142142,0.0002726596516413991,0.00027191770743058595,7.419442108131725e-07,7.419442108131725e-07
1322142,0.004154018939018478,0.00415328041681537,7.385222031081398e-07,7.385222031081398e-07
2132214,0.002179340386618688,0.0021800731561203057,-7.327695016176236e-07,7.327695016176236e-07
2141322,0.002169186058476274,0.002169915413742089,-7.293552658146907e-07,7.293552658146907e-07
2142413,0.0021649250144187217,0.0021656529369743676,-7.27922555645872e-07,7.27922555645872e-07
2134232,0.002156841693783843,0.002157566898447937,-7.252046640938634e-07,7.252046640938634e-07
4221422,0.003807379836425523,0.003808100874649227,-7.21038223704118e-07,7.21038223704118e-07
1423221,0.003051099683524227,0.0030518101876896055,-7.105041653784026e-07,7.105041653784026e-07
2142323,0.0021090358394810897,0.0021097449701659903,-7.091306849006142e-07,7.091306849006142e-07
4134213,0.001340139630724881,0.0013394517802529761,6.878504719047898e-07,6.878504719047898e-07
0041322,0.0016173837529552483,0.0016166976404223736,6.86112532874688e-07,6.86112532874688e-07
3400422,0.0019560686879561305,0.0019553826215417403,6.860664143902226e-07,6.860664143902226e-07
2142041,0.0020394234208980094,0.002040109145483713,-6.857245857037723e-07,6.857245857037723e-07
1340044,0.003854586284174279,0.0038539009966018236,6.852875724552669e-07,6.852875724552669e-07
2214232,0.0052547573194735644,0.005255441252414568,-6.839329410035511e-07,6.839329410035511e-07
2142134,0.002014183276281847,0.0020148605142592604,-6.772379774135258e-07,6.772379774135258e-07
4134204,0.0013156211726674711,0.001314945906729714,6.752659377571701e-07,6.752659377571701e-07
1342214,0.0037918367014975665,0.0037911625698588535,6.741316387129381e-07,6.741316387129381e-07
4132321,0.001293719308422408,0.0012930552840055422,6.640244168659281e-07,6.640244168659281e-07
