gram,generated_from_n_prob
4134004,0.012087750808630162
3400413,0.009887668489525846
1340041,0.009637093878769598
2134004,0.00804147602964545
2142214,0.00737763783108868
2214221,0.007251583577804723
2322142,0.007237636175089127
1422142,0.005886131229714461
2142142,0.005614693493741709
4004134,0.00556635888508927
1340042,0.005290961224726394
2214232,0.005255441252414568
4004413,0.004795726734910738
4004132,0.004583592564033631
4134221,0.004475047693257798
2142213,0.004340839684774885
2141342,0.004274167811777733
0413400,0.004232764676845003
1322142,0.00415328041681537
3221422,0.004087185237251539
3400441,0.004038467720064527
2213400,0.00402090948929513
2142232,0.003964286413048073
1340044,0.0038539009966018236
4221422,0.003808100874649227
1342214,0.0037911625698588535
2323221,0.0037525313235327483
2214134,0.0037360735507659996
2142322,0.0037068223290004504
2214214,0.003688976234493003
3221413,0.003562767675221168
1413400,0.003352248906528282
4221413,0.003319492000637882
4132214,0.0032770328430523233
4134232,0.003243201984964146
3214221,0.003209786763646517
3221421,0.0032097867636465137
2141340,0.0031976606348615437
0041342,0.0031844729855869084
2214132,0.003076452542764699
3232214,0.0030566364625802932
1423221,0.0030518101876896055
3422142,0.0030234110166562737
4221421,0.002990613606321251
4214221,0.0029906136063212506
2134221,0.002977062426796572
2142321,0.00291107658600176
1342142,0.0028852345834876124
4232214,0.002847920833278436
2323232,0.0027195725881217904
2232214,0.0026046227422313133
2322134,0.002597261517839918
2320413,0.002574873176479282
2321422,0.0025525711608946036
4413400,0.0024953822575804704
4132142,0.00249396018128321
2041342,0.002473175282354146
0041340,0.002382420241136007
3221342,0.002378958254008596
3232142,0.0023262292419484014
3214232,0.002326229241948401
3221423,0.0023262292419483984
4134214,0.0022765157998286953
2322141,0.002272528273337291
3223221,0.00226628827915335
2142212,0.002264251367741987
2122142,0.002264251367741985
0441342,0.002262547925737037
0413221,0.002255726384133919
1342213,0.002230636595541313
0044134,0.0022262162872260533
2321413,0.0022250564857815326
4221342,0.0022165163754447655
1423232,0.002211738854394945
2132214,0.0021800731561203057
2214213,0.0021705124053935376
2141322,0.002169915413742089
4232142,0.0021673878468144226
4214232,0.002167387846814422
4221423,0.002167387846814422
2142413,0.0021656529369743676
2134232,0.002157566898447937
1323221,0.0021533708634259865
2213221,0.0021428244458839307
2322132,0.0021387030239662366
2214204,0.0021308019034767013
1422134,0.0021122672875588232
4223221,0.002111539819480913
2142323,0.0021097449701659903
1420413,0.0020940595865807134
1421422,0.0020759220915142484
2142041,0.002040109145483713
1342232,0.002037136358471812
2142134,0.0020148605142592604
2413400,0.002006306813774046
2321421,0.002004609199218704
0413422,0.00199537457135143
2232142,0.00198222774000006
2214223,0.0019822277400000595
3400422,0.0019553826215417403
4132213,0.0019281339825992885
3204134,0.0019136986255533658
2323214,0.0019089621905583277
1342322,0.0019048327376012942
2213422,0.0018955035682790373
4004221,0.001862471686117964
2041340,0.0018502725189461257
1422141,0.001848172430404736
0044132,0.0018331675392676819
1421413,0.0018095651884126507
2322322,0.0018022574487372922
3232213,0.0017984576042465498
1413221,0.0017864816218123116
4204134,0.0017830259669574858
3213400,0.0017797853280024259
3221340,0.0017797853280024237
4131221,0.0017667502651773442
2142141,0.001762944337346971
4132232,0.001760874831789838
1422132,0.001739336760775682
2044134,0.0017289589579378873
4004004,0.001713475376768279
2141321,0.001704098387756353
0441340,0.0016926945209499865
2141312,0.0016874428235140082
4232213,0.0016756539227363977
2132142,0.0016591276023295099
2142132,0.0016591276023295097
4221340,0.0016582566413876432
4213400,0.0016582566413876432
3214134,0.001653707676756709
3204413,0.0016487574464004446
4132322,0.0016465132598819459
3232232,0.0016424474439735793
3223232,0.0016424474439735793
0413232,0.0016347929202142882
3214214,0.001632860872640841
1421421,0.0016302826676347537
0041322,0.0016166976404223736
1413422,0.0015802891810921505
3204132,0.0015758263114123863
3423221,0.001567562152815306
0413421,0.001567026331291891
1323232,0.0015606127883618067
2213232,0.001552969481597012
1423214,0.0015524961043031594
4214134,0.001540787922425105
4204413,0.001536175707549793
3232322,0.0015357772434131023
3400421,0.001535619477014379
2232213,0.001532502682051074
4223232,0.001530296569618444
4232232,0.0015302965696184425
4214214,0.0015213645960087418
2134214,0.0015144709322069626
1312214,0.0014967521990257124
1342321,0.0014959211665739613
1322134,0.0014904252076832058
2213421,0.0014885946955509495
2212214,0.0014876625934841653
2321342,0.001485731592688468
1320413,0.001477577772762651
4204132,0.0014682245130685887
1422322,0.0014657166506255683
1321422,0.001464779875446099
2321423,0.001452800725180776
4130142,0.0014526543913431125
4232322,0.0014309101066925488
0400413,0.001427104933589873
2044132,0.0014237032837303915
2322321,0.0014153657756726438
3400400,0.0014127710942196114
2232232,0.001399563218545784
3214132,0.0013617379631363491
4004232,0.001349789384023293
1340040,0.0013482043946846784
4134213,0.0013394517802529761
1221422,0.0013386489227069976
4413221,0.0013298399572545033
4134204,0.001314945906729714
2232322,0.0013086673486248789
1322141,0.0013040787000038433
2324134,0.0012957785688167455
1413232,0.0012947170933380007
3221221,0.0012944186673498
4132321,0.0012930552840055422
2132213,0.0012827070518319275
0422142,0.0012812056438755274
4131232,0.0012804171842887692
1321413,0.0012768372580693672
0041321,0.0012696402012197148
4214132,0.0012687547119713384
0041312,0.001257230956490647
4004131,0.0012571102804123033
2041322,0.0012555850407366456
1413421,0.0012410475673997941
2141323,0.0012350114797820592
1322132,0.0012272837666799958
4134223,0.0012232588344633375
1421342,0.0012082965923040881
3221322,0.0012077528097510888
3232321,0.0012060910337236897
4221221,0.001206032164720725
3122142,0.0011936436394779349
3241342,0.0011868666672495004
1421423,0.0011815150018829274
4413422,0.001176352262108033
2131221,0.0011753452013297573
2123221,0.001173957073311859
2132232,0.0011714365207573818
1221413,0.0011668898847112894
1342212,0.0011635357048786464
3223214,0.0011528907462220379
1422321,0.0011510703898504804
1321421,0.0011503347127531534
0441322,0.00114865345362867
0413214,0.0011475177708850169
1312142,0.0011390915393271839
3423232,0.0011360595537841572
0413423,0.0011356712277712415
2214212,0.0011321739662145888
2212142,0.0011321739662145888
4221322,0.001125284092645134
4232321,0.0011237357873014617
2323213,0.001123191328068701
2142042,0.0011200615578461244
2324413,0.0011163850648661837
3400423,0.0011129097335668848
1342413,0.0011128687178658322
2321340,0.0011115299251514543
2214241,0.0011059758372454322
4241342,0.0011058241139773107
2323204,0.0011026420369080465
1323214,0.0010954481671481971
2132322,0.0010953565408033522
2213214,0.0010900830654081077
3422134,0.0010849659883709068
1342323,0.001084139171095771
2213423,0.001078829456653976
3420413,0.0010756136036589757
4223214,0.0010741681632260576
2441342,0.0010724350788336489
2413221,0.0010692017062170114
2324132,0.0010670028891907
3421422,0.0010662972802101087
1424134,0.001053814051465915
2320441,0.001051667763486096
1214221,0.0010512803662806325
1221421,0.0010512803662806314
1342041,0.0010483552605676306
1342134,0.0010353806923074549
1322322,0.0010342161980542008
2322122,0.0010293817015579777
2232321,0.0010277349544492896
2322323,0.001025758250583051
2323223,0.0010257582505830507
3221424,0.0010225630879429689
4132212,0.0010057455064748956
1232214,0.0010011200545663498
2041321,0.0009860478570085983
2041312,0.0009764103950249295
2130142,0.0009663903278850466
4413232,0.0009637751113916422
2103400,0.0009629745761244114
1034004,0.0009628491572067752
4132413,0.0009619496054973038
3214213,0.0009607393908396252
4221424,0.0009527396395173424
3422141,0.0009493136779821922
3221321,0.0009484837993549826
3213221,0.0009484837993549826
0042214,0.0009475548695167956
4004214,0.0009474639178860885
2413422,0.0009457964012111881
3214204,0.0009431622310285528
3221420,0.0009431622310285519
3221312,0.0009392134820033069
3221232,0.0009381042346539481
3232212,0.0009381042346539478
4132323,0.0009371161496386682
3421413,0.0009294830700317051
2142324,0.0009274010026879968
4413421,0.0009238240258567515
0041323,0.0009201465331844106
1423213,0.000913454530340249
1413214,0.0009088067696544738
1424413,0.0009079192205478215
4132041,0.0009061849912162202
1342141,0.0009059279863712407
1421340,0.0009039706952547355
0441321,0.0009020713369853213
1413423,0.0008994245893937712
4131214,0.0008987691682230444
3232413,0.0008972538208036629
1423204,0.0008967424683460945
4214213,0.0008951374362045282
4132134,0.0008949699389652151
3422132,0.0008934102416298895
0441312,0.0008932546470498779
2134213,0.0008910813561841509
3241340,0.0008879381876947232
2142441,0.0008845279843371173
4221321,0.0008837186905536973
4213221,0.0008837186905536962
1312213,0.0008806560436494261
4221420,0.0008787604936964354
4214204,0.0008787604936964354
3214223,0.0008773984736050264
2212213,0.0008753079198519374
4221312,0.0008750813762246478
2134204,0.0008747786214866304
3232323,0.0008740905355072356
4221232,0.0008740478713659014
4232212,0.0008740478713659002
1424132,0.0008677583227901873
2132321,0.0008602157039763888
2142320,0.0008553893731025335
1420441,0.0008552867699049866
1301422,0.0008531888096637425
1321342,0.000852579458165557
1342132,0.0008525794581655568
2131232,0.0008518081037915686
2123232,0.0008508020855652565
3232041,0.0008452396477706818
2214131,0.0008437573943759672
3213422,0.0008390115343259491
3421421,0.0008373946120514546
1422122,0.0008371622494221893
4232413,0.0008359868372597824
3232134,0.0008347788622729583
1422323,0.0008342154160325442
1423223,0.0008342154160325432
1321423,0.0008336822486596159
3244134,0.0008297203076789719
4241340,0.0008273073014592658
0040041,0.0008203863165560172
4214223,0.000817487268327977
2142044,0.0008158453957034603
4232323,0.0008144052054332811
2134223,0.0008137830396342949
2122134,0.0008125377957507294
1322321,0.0008122003947869758
2321221,0.0008084037225145667
2322121,0.0008084037225145666
2120413,0.0008055337365080479
1312232,0.0008042620879672369
2441340,0.000802327748007786
2232212,0.0007993778959570952
2212232,0.0007993778959570952
2121422,0.0007985566837701922
2142122,0.0007985566837701915
3423214,0.000797439547621812
0413122,0.0007877745210122799
4232041,0.0007875243364619842
2141301,0.000785482960477954
4132141,0.0007830726617691167
4213422,0.0007817214959055696
1221342,0.0007791645641280088
4232134,0.0007777778424591367
2413232,0.0007748827126813604
4244134,0.0007730647000259895
2232413,0.0007645684188581422
1232142,0.0007618945773051829
1214232,0.0007618945773051824
1221423,0.0007618945773051817
2321322,0.0007542782655315034
3422322,0.0007528652855082285
1312322,0.0007520285759961635
2213122,0.000748345416954346
2212322,0.0007474615921519264
2232323,0.0007448305074622489
1301413,0.0007437180689110356
1324134,0.0007435758891720422
2413421,0.0007427617280575302
1223221,0.0007422625076499368
4132132,0.0007369588705936994
2042214,0.0007359049024971832
3232141,0.0007304072206318959
0042142,0.0007211292127163346
2232041,0.0007202460731495222
2041323,0.0007146186110905658
2232134,0.0007113322228626044
2122141,0.0007109469344212965
3014221,0.0007021227957886791
4134212,0.0006986794596676112
2121413,0.0006960956684413562
3232132,0.00068739480596128
3213232,0.0006873948059612799
3221323,0.0006873948059612791
3244132,0.0006832293624998704
4134241,0.0006825122493813048
4232141,0.000680532986464017
3223213,0.0006783355347590792
4413214,0.0006765071305261271
2400413,0.0006764397671089257
0413213,0.0006751741943541631
2322103,0.0006700751176933813
1301421,0.0006700342629911162
4413423,0.0006695231246206035
2122132,0.0006690805022607864
2132212,0.0006690805022607863
0413014,0.0006683934817927565
3223204,0.0006659250806716611
0423221,0.0006642727258213765
0413204,0.0006628215784131189
3213421,0.0006589004317399487
3212214,0.0006584878530467252
3221214,0.0006584878530467252
1422121,0.0006574481339208539
1421221,0.0006574481339208533
0441323,0.0006537582951569042
1323213,0.0006445375858019193
2210342,0.0006436096478607102
2213213,0.0006413808780481045
1324413,0.000640631846554069
4232132,0.0006404575789598312
4213232,0.0006404575789598311
4221323,0.0006404575789598311
3204221,0.000640312559688441
2132413,0.0006399449175284649
2321424,0.0006386216667375178
1321340,0.0006378457495176508
2040041,0.0006371412692998436
4244132,0.0006365765635499781
2213014,0.0006349395486655637
1323204,0.0006327454804111101
4223213,0.0006320168999628642
2213204,0.0006296465260472308
2121421,0.0006271300478934643
2142121,0.0006271300478934643
1204134,0.0006267811353726551
1413122,0.0006238986757521929
2132323,0.0006234242559776081
2232141,0.000622395002231256
3421342,0.0006206414852116083
4223204,0.0006204538661579977
3223223,0.0006194922040924371
3123221,0.0006188740409048571
0413121,0.0006186624983954876
0413223,0.0006166050993559538
4213421,0.0006139088797705079
4221214,0.0006135244730966425
4212214,0.000613524473096642
1421322,0.0006134296816301573
1324132,0.0006122941381903025
2422142,0.0006072843187373267
2214242,0.0006072033067189548
3421423,0.0006068851226089279
1320441,0.0006034941549170966
2132041,0.0006028470474496413
3241322,0.000602550107701602
2131214,0.000597913609973652
2123214,0.0005972074509376956
4204221,0.0005965902392616147
2132134,0.0005953861413410136
2321321,0.0005923569039012636
3422321,0.0005912472491357619
1322122,0.000590705412524578
1312321,0.0005905901565498018
3204004,0.0005890880450099479
1232213,0.000589037000945374
2321420,0.0005890334230575346
1322323,0.0005886261137574956
1323223,0.0005886261137574956
2213121,0.0005876976634391198
2212321,0.0005870035698300677
2321312,0.0005865673095103471
2322131,0.0005865673095103465
2321232,0.0005858745508928845
2323212,0.0005858745508928843
2322123,0.0005858745508928838
2232132,0.0005857432398051816
2213223,0.0005857432398051809
0041301,0.0005852248621095904
4004130,0.0005851686889451101
1213400,0.0005829213930079434
1221340,0.0005829213930079427
0400441,0.0005828792918727708
4223223,0.0005771915553867034
1342042,0.0005755684341335327
2323241,0.0005723176086719315
2122322,0.0005638255080259464
4241322,0.0005614063124042444
2042142,0.0005600546628423804
0042213,0.000557520425273198
4004213,0.0005574669113359449
4204004,0.0005488634767521114
4004204,0.0005472678031455612
1422103,0.0005449500335599607
2441322,0.0005444553209601171
2413214,0.0005439170136832344
2141324,0.0005428859416078877
1214134,0.0005416280083873332
3424134,0.000541291535707706
